Name,IDfg,Age,Team,xwOBA,xSLG,xBA,Barrel%,HardHit%,K%,BB%,BABIP,SwStr%,wRC+,HR/FB,GB%,FB%,Pull%,Spd,HR,RBI,R,SB,AVG,OBP,SLG,wOBA,proj_PA,xwOBA_rank
Pedro Pages,25782,27,STL,0.2652,0.3436,0.2119,0.0665,0.3743,0.2727,0.0519,0.2935,0.1264,78.8158,0.1144,0.4202,0.3859,0.3451,2.2301,9.962,40.331,33.071,0.498,0.232,0.274,0.366,0.279,323,623.5
Vidal Brujan,20536,27,MIA,0.2652,0.2899,0.2151,0.0163,0.2313,0.1975,0.0883,0.2673,0.1064,70.6598,0.0375,0.5069,0.316,0.4048,4.6956,2.104,16.0,30.017,4.8,0.216,0.295,0.313,0.27,259,623.5
Kyren Paris,26420,24,LAA,0.265,0.348,0.173,0.162,0.471,0.421,0.071,0.295,0.217,78.0,0.194,0.358,0.463,0.463,8.6,5.82,11.0,20.0,7.0,0.19,0.266,0.381,0.283,140,625.0
Leury Garcia,5913,32,CHW,0.264,0.34,0.235,0.042,0.354,0.206,0.022,0.255,0.131,38.0,0.043,0.502,0.294,0.35,4.3,2.7,20.0,38.0,1.52,0.21,0.233,0.267,0.221,315,626.0
Taylor Walls,22458,29,TBR,0.2639,0.2976,0.2,0.0348,0.2638,0.2434,0.103,0.2608,0.0903,68.038,0.0483,0.3758,0.4257,0.3709,6.5318,4.251,31.471,38.117,13.817,0.203,0.284,0.302,0.263,312,627.0
Nick Fortes,21538,29,- - -,0.2635,0.3178,0.2184,0.0345,0.32,0.1665,0.0492,0.2531,0.0697,67.4726,0.0616,0.4389,0.4037,0.4815,2.9836,4.851,24.935,26.038,1.28,0.223,0.277,0.33,0.268,284,628.0
Michael Chavis,17321,27,PIT,0.263,0.345,0.215,0.075,0.387,0.296,0.045,0.294,0.163,78.0,0.13,0.446,0.388,0.427,3.3,14.0,49.0,39.0,0.96,0.229,0.265,0.389,0.282,426,630.0
Marcelo Mayer,29668,23,BOS,0.263,0.348,0.21,0.092,0.517,0.301,0.059,0.301,0.139,80.0,0.138,0.494,0.333,0.379,4.9,3.84,10.0,20.0,0.0,0.228,0.272,0.402,0.29,136,630.0
Brett Wisely,27735,26,SFG,0.263,0.325,0.215,0.052,0.313,0.239,0.048,0.301,0.097,75.0,0.051,0.409,0.419,0.385,3.2,3.96,31.0,25.0,2.0,0.238,0.278,0.345,0.272,272,630.0
Tyler Wade,15730,31,SDP,0.2627,0.2668,0.2116,0.0086,0.1608,0.2174,0.0945,0.2822,0.0903,62.659,0.0022,0.4584,0.3206,0.3792,5.6194,0.077,8.519,19.721,3.496,0.211,0.296,0.248,0.253,140,632.0
Johan Rojas,24336,25,PHI,0.2621,0.3022,0.2286,0.0262,0.3047,0.2149,0.0501,0.3091,0.1066,68.6218,0.037,0.5361,0.3174,0.3529,8.383,2.077,25.567,34.961,18.674,0.244,0.288,0.324,0.27,230,633.0
Reese McGuire,15674,31,CHC,0.262,0.3366,0.2137,0.0643,0.3093,0.2234,0.0507,0.2712,0.1093,78.2034,0.1087,0.4343,0.3841,0.4173,2.643,4.561,20.348,15.368,1.108,0.234,0.275,0.376,0.283,165,635.0
Brian Serven,19422,28,COL,0.262,0.311,0.214,0.027,0.295,0.215,0.063,0.232,0.141,54.0,0.12,0.448,0.35,0.452,2.3,5.88,16.0,19.0,0.0,0.203,0.261,0.332,0.263,205,635.0
Braxton Fulford,29704,27,COL,0.262,0.327,0.198,0.053,0.387,0.3,0.058,0.297,0.136,49.0,0.028,0.347,0.48,0.36,6.1,1.0,16.0,11.0,0.96,0.213,0.267,0.324,0.258,120,635.0
Seby Zavala,18887,30,- - -,0.2612,0.3246,0.1935,0.0647,0.3678,0.3497,0.0701,0.2755,0.1827,62.2577,0.1387,0.3645,0.4001,0.4281,2.4339,5.351,18.784,18.307,0.62,0.197,0.261,0.332,0.261,196,637.0
Rafael Marchan,21646,27,PHI,0.261,0.293,0.213,0.022,0.222,0.144,0.085,0.23,0.092,65.0,0.067,0.528,0.337,0.467,1.0,2.0,13.0,9.0,0.0,0.21,0.282,0.305,0.264,118,638.5
Kyle Karros,33252,23,COL,0.261,0.266,0.21,0.01,0.337,0.263,0.096,0.309,0.113,56.0,0.033,0.469,0.306,0.418,2.2,0.96,9.0,20.0,0.0,0.226,0.308,0.277,0.268,156,638.5
Yadier Molina,7007,40,STL,0.26,0.345,0.232,0.031,0.26,0.148,0.019,0.234,0.114,49.0,0.055,0.381,0.408,0.39,2.9,3.7,24.0,19.0,1.2,0.214,0.233,0.302,0.235,270,640.0
Angel Martinez,26540,24,CLE,0.2597,0.3148,0.2168,0.0318,0.2982,0.2213,0.0553,0.2715,0.1021,75.6123,0.0729,0.377,0.4308,0.4762,5.0596,9.28,38.909,48.834,7.104,0.225,0.274,0.355,0.275,363,641.0
Martin Maldonado,6887,39,SDP,0.2594,0.3511,0.1875,0.0885,0.3472,0.3426,0.0612,0.2745,0.1598,64.4262,0.1361,0.3766,0.4241,0.4791,0.9604,7.672,26.477,24.107,0.0,0.196,0.251,0.339,0.259,241,642.0
Cristian Pache,19948,26,- - -,0.2593,0.3034,0.2062,0.0457,0.3878,0.3321,0.0853,0.2955,0.1465,50.9106,0.0381,0.5196,0.3231,0.4017,3.8664,1.428,16.443,14.106,1.221,0.192,0.261,0.271,0.24,196,643.0
Ben Rortvedt,20287,28,- - -,0.2585,0.2743,0.1955,0.0342,0.2643,0.2342,0.0971,0.2651,0.1077,65.4745,0.0392,0.4684,0.3495,0.39,1.7694,2.187,22.928,20.081,0.566,0.199,0.287,0.265,0.255,205,644.0
