Name,IDfg,Age,Team,xwOBA,xSLG,xBA,Barrel%,HardHit%,K%,BB%,BABIP,SwStr%,wRC+,HR/FB,GB%,FB%,Pull%,Spd,HR,RBI,R,SB,AVG,OBP,SLG,wOBA,proj_PA,xwOBA_rank
Teoscar Hernandez,13066,33,LAD,0.335,0.4757,0.2493,0.1323,0.4728,0.274,0.061,0.317,0.159,114.0575,0.1916,0.452,0.3675,0.3765,3.929,24.426,92.365,72.386,5.536,0.258,0.307,0.467,0.332,600,110.0
Edward Olivares,19698,29,PIT,0.3349,0.4288,0.2712,0.0714,0.3686,0.1789,0.0676,0.2766,0.1082,92.6444,0.1059,0.4593,0.3591,0.4827,4.5006,8.089,28.9,34.656,5.348,0.248,0.307,0.398,0.306,257,111.5
Luis Torrens,15905,30,NYM,0.3349,0.4472,0.2716,0.103,0.48,0.205,0.0673,0.2727,0.0956,78.5901,0.0893,0.5089,0.2776,0.3214,2.5839,4.572,28.044,19.522,0.783,0.226,0.284,0.342,0.277,270,111.5
Daniel Vogelbach,14130,31,NYM,0.3344,0.42,0.2289,0.0972,0.4672,0.2517,0.1405,0.2846,0.0671,113.8519,0.1691,0.4148,0.3945,0.4266,1.0951,13.455,51.576,37.551,0.0,0.235,0.346,0.413,0.334,354,113.0
Pavin Smith,19892,30,ARI,0.3343,0.4219,0.2298,0.114,0.4405,0.2692,0.1358,0.3219,0.1004,117.1578,0.1648,0.4187,0.347,0.4215,3.0383,7.609,30.237,31.545,1.317,0.246,0.347,0.433,0.341,239,114.0
Sean Murphy,19352,31,ATL,0.3341,0.4409,0.2235,0.1276,0.4195,0.2684,0.1041,0.2529,0.1265,102.5486,0.2011,0.4602,0.3639,0.4978,1.4409,14.7,47.806,40.922,0.082,0.214,0.314,0.413,0.318,350,115.0
Heriberto Hernandez,24878,26,MIA,0.334,0.435,0.245,0.109,0.454,0.262,0.105,0.335,0.144,118.0,0.141,0.432,0.388,0.464,3.3,9.9,45.0,40.0,1.0,0.266,0.347,0.438,0.341,294,116.5
Ryan Noda,23312,28,OAK,0.334,0.396,0.209,0.13,0.45,0.343,0.156,0.347,0.15,122.0,0.172,0.374,0.396,0.454,3.5,15.68,54.0,63.0,2.76,0.229,0.364,0.406,0.342,495,116.5
Jesus Sanchez,19913,28,- - -,0.3339,0.4566,0.2501,0.1157,0.4622,0.2427,0.0831,0.298,0.1328,97.6108,0.1503,0.4861,0.3233,0.3914,5.286,14.961,53.319,57.068,11.05,0.243,0.309,0.411,0.312,483,118.0
Gabriel Moreno,22664,26,ARI,0.3337,0.4202,0.2667,0.0645,0.4228,0.1695,0.0977,0.3196,0.0715,110.5439,0.0936,0.4573,0.3246,0.3261,3.4654,7.195,43.759,40.029,3.177,0.279,0.35,0.41,0.332,335,119.0
D.J. Stewart,17766,31,NYM,0.3336,0.3966,0.2173,0.0956,0.4116,0.2674,0.1312,0.2465,0.1343,102.9213,0.148,0.3462,0.4667,0.5558,2.1272,6.609,21.548,17.82,0.8,0.201,0.328,0.373,0.315,191,120.0
Randal Grichuk,10243,34,- - -,0.3332,0.4578,0.2612,0.0992,0.4743,0.1991,0.0612,0.2894,0.0986,101.3547,0.1142,0.3974,0.4198,0.4553,3.2653,10.681,40.229,46.04,0.595,0.256,0.306,0.449,0.323,335,121.0
Ryan Mountcastle,18373,29,BAL,0.333,0.4602,0.2637,0.1106,0.4597,0.2471,0.0552,0.3224,0.1473,98.1206,0.1099,0.4457,0.3466,0.3216,3.416,11.883,54.968,48.852,2.712,0.261,0.303,0.408,0.307,436,122.5
Vaughn Grissom,26031,22,ATL,0.333,0.432,0.261,0.074,0.343,0.218,0.071,0.35,0.117,122.0,0.152,0.444,0.306,0.491,4.7,4.75,18.0,24.0,5.0,0.291,0.353,0.44,0.345,156,122.5
Brandon Nimmo,12927,33,NYM,0.3326,0.425,0.2501,0.0891,0.4833,0.2195,0.096,0.2961,0.0946,116.0368,0.1438,0.4416,0.3733,0.3584,4.6355,20.848,85.371,85.774,8.044,0.254,0.335,0.43,0.334,662,124.5
Andrew McCutchen,9847,39,PIT,0.3326,0.4155,0.2448,0.0901,0.4088,0.2261,0.1237,0.2902,0.1086,101.5069,0.1156,0.4148,0.3855,0.4648,2.3669,11.481,53.556,56.901,2.163,0.24,0.338,0.385,0.319,528,124.5
Christian Walker,13419,35,HOU,0.3324,0.4543,0.2397,0.1263,0.4537,0.2464,0.0811,0.2836,0.1319,109.9159,0.1538,0.3716,0.4528,0.4223,3.013,23.888,90.156,75.397,2.365,0.245,0.316,0.451,0.329,619,126.0
Willy Adames,15986,30,SFG,0.3323,0.4467,0.2312,0.1241,0.411,0.2581,0.1112,0.2733,0.1302,109.4849,0.1479,0.3251,0.4754,0.449,4.3503,27.873,93.928,89.6,11.186,0.232,0.319,0.433,0.326,674,127.0
Jose Abreu,15676,37,HOU,0.332,0.4381,0.258,0.0892,0.4439,0.2033,0.0765,0.2964,0.1147,100.0711,0.1127,0.458,0.3503,0.3503,1.8345,13.738,85.861,68.346,0.0,0.255,0.319,0.4,0.313,615,129.0
Agustin Ramirez,26546,24,MIA,0.332,0.457,0.259,0.11,0.47,0.193,0.062,0.253,0.116,91.0,0.139,0.46,0.353,0.428,5.4,20.37,67.0,72.0,16.0,0.231,0.287,0.413,0.302,585,129.0
Brandon Belt,10264,36,TOR,0.332,0.4334,0.208,0.1453,0.397,0.3338,0.1457,0.3516,0.121,129.106,0.1809,0.2973,0.4856,0.4149,1.5355,13.8,39.053,47.474,0.118,0.246,0.361,0.462,0.356,378,129.0
Zach Neto,31347,25,LAA,0.3317,0.4586,0.2414,0.1139,0.4308,0.252,0.0619,0.3012,0.1307,112.4813,0.1586,0.3864,0.4042,0.4935,5.5867,22.479,64.078,72.563,24.969,0.25,0.317,0.452,0.33,527,131.0
Andrew Vaughn,26197,28,- - -,0.3314,0.4538,0.2554,0.101,0.46,0.1965,0.0634,0.2869,0.0986,99.9878,0.1086,0.4111,0.4061,0.3666,1.6268,16.967,70.43,49.862,0.628,0.253,0.306,0.413,0.312,534,132.0
Luis Garcia Jr.,20391,26,WSN,0.3313,0.4547,0.2744,0.081,0.4261,0.1576,0.0509,0.2878,0.0985,95.7914,0.1112,0.4744,0.3317,0.3626,5.0102,14.9,63.637,61.607,15.124,0.264,0.301,0.417,0.308,510,133.0
Oneil Cruz,21711,27,PIT,0.3312,0.4448,0.2343,0.1693,0.5545,0.3144,0.1033,0.2976,0.1402,96.1684,0.1776,0.4797,0.3587,0.4135,6.7175,20.248,66.501,65.089,29.253,0.224,0.308,0.409,0.31,551,134.5
Jake Bauers,15194,30,MIL,0.3312,0.4356,0.2194,0.1324,0.451,0.3141,0.1242,0.2875,0.1151,98.5697,0.1431,0.3291,0.4552,0.446,5.1661,9.369,34.429,34.855,7.615,0.214,0.318,0.386,0.31,268,134.5
Spencer Horwitz,26477,28,PIT,0.3311,0.4143,0.2506,0.0813,0.3622,0.1802,0.1081,0.3082,0.0767,121.9347,0.1045,0.3998,0.3934,0.3807,1.6166,11.14,46.965,51.698,0.0,0.269,0.354,0.434,0.344,399,136.0
Kody Clemens,20572,30,- - -,0.331,0.465,0.243,0.12,0.483,0.241,0.075,0.231,0.107,95.0,0.157,0.341,0.475,0.467,5.7,17.86,52.0,46.0,4.2,0.213,0.281,0.434,0.307,386,137.0
Michael Harris II,25931,25,ATL,0.3307,0.4566,0.276,0.0952,0.4518,0.1998,0.0355,0.2984,0.1267,95.036,0.1403,0.4929,0.315,0.3886,5.5571,18.256,70.701,60.225,17.536,0.262,0.291,0.428,0.308,561,138.5
Jonathan India,21523,29,KCR,0.3307,0.3983,0.2477,0.0669,0.3664,0.1944,0.1046,0.2851,0.0707,97.5987,0.0805,0.3989,0.4061,0.4544,3.5829,11.818,51.682,71.648,5.866,0.24,0.337,0.372,0.316,573,138.5
Wilyer Abreu,23772,27,BOS,0.3306,0.4582,0.2374,0.117,0.4703,0.2572,0.0932,0.2967,0.1178,112.4071,0.1368,0.3202,0.5053,0.4526,3.9221,19.192,64.587,55.407,6.53,0.249,0.319,0.465,0.335,429,140.0
Max Kepler,12144,33,PHI,0.3305,0.4391,0.2486,0.1006,0.4294,0.1983,0.0879,0.2613,0.1031,97.125,0.1117,0.367,0.4399,0.4336,3.1789,14.113,51.566,56.561,1.512,0.235,0.308,0.403,0.309,453,141.0
LaMonte Wade Jr.,18126,32,- - -,0.3303,0.4022,0.2366,0.0767,0.3837,0.2174,0.1359,0.2782,0.0827,95.5731,0.0769,0.36,0.4267,0.4144,3.302,7.575,31.242,40.692,1.231,0.225,0.338,0.347,0.306,338,142.5
Colt Keith,27899,24,DET,0.3303,0.4261,0.2613,0.0767,0.3999,0.2095,0.0868,0.3066,0.0981,103.0343,0.101,0.4073,0.3677,0.3676,3.8687,12.61,51.818,60.313,3.557,0.258,0.323,0.399,0.315,502,142.5
Jazz Chisholm Jr.,20454,28,NYY,0.3302,0.4529,0.2335,0.1279,0.4237,0.2706,0.0945,0.2967,0.138,117.7393,0.1979,0.4319,0.4138,0.4755,6.0566,25.939,72.738,70.367,29.891,0.248,0.325,0.463,0.338,514,144.0
Weston Wilson,19358,31,PHI,0.33,0.427,0.251,0.103,0.41,0.272,0.096,0.236,0.118,81.0,0.179,0.416,0.364,0.513,3.2,4.6,17.0,15.0,1.6,0.198,0.282,0.369,0.288,125,145.0
Jarren Duran,24617,29,BOS,0.3295,0.4251,0.2559,0.0907,0.4553,0.2358,0.0789,0.3378,0.1158,118.3791,0.0999,0.435,0.3696,0.3541,7.4601,15.978,74.921,89.259,23.869,0.269,0.336,0.462,0.344,621,146.0
Mike Tauchman,15274,35,CHW,0.3286,0.3887,0.2454,0.0671,0.3968,0.2145,0.1265,0.3175,0.0967,112.1538,0.0895,0.4012,0.3806,0.3665,3.2817,6.905,38.404,49.728,2.007,0.256,0.358,0.386,0.331,377,147.0
Luke Voit,14811,32,- - -,0.328,0.455,0.221,0.147,0.443,0.315,0.097,0.298,0.187,103.0,0.167,0.339,0.404,0.489,1.5,19.8,69.0,55.0,0.76,0.226,0.308,0.402,0.311,568,148.0
J.T. Realmuto,11739,35,PHI,0.3276,0.4389,0.2562,0.0979,0.4535,0.2403,0.065,0.3199,0.1102,100.6908,0.1183,0.4322,0.3568,0.413,4.3754,12.286,54.947,58.934,5.703,0.259,0.317,0.414,0.318,509,149.0
Randy Arozarena,19290,31,SEA,0.3274,0.408,0.2243,0.1053,0.4767,0.2601,0.1009,0.2951,0.1179,119.388,0.1456,0.4363,0.3999,0.418,5.3047,22.041,73.42,88.649,21.143,0.237,0.338,0.416,0.331,678,150.0
Evan Longoria,9368,38,ARI,0.3272,0.4554,0.2302,0.1113,0.5032,0.2994,0.0952,0.2829,0.115,98.0882,0.1827,0.378,0.4225,0.4858,0.9705,9.271,32.135,26.772,0.0,0.229,0.301,0.431,0.314,252,151.0
Justin Turner,5235,41,CHC,0.3271,0.4071,0.251,0.0498,0.3462,0.1794,0.0953,0.2916,0.0719,106.1951,0.0813,0.3502,0.4222,0.3889,2.4434,9.155,60.17,56.439,1.1,0.256,0.336,0.392,0.32,390,152.0
C.J. Cron,12546,34,- - -,0.327,0.4603,0.2464,0.1251,0.4095,0.2448,0.064,0.2939,0.1188,92.191,0.1626,0.4094,0.4004,0.3985,2.1156,16.623,65.022,55.675,0.0,0.252,0.304,0.449,0.322,366,153.0
Starling Marte,9241,37,NYM,0.3269,0.4151,0.2637,0.0706,0.4047,0.2086,0.0641,0.3219,0.1218,104.6962,0.1179,0.4916,0.2841,0.3921,5.4707,6.633,37.262,43.218,8.153,0.268,0.328,0.393,0.316,354,154.0
Eugenio Suarez,12552,34,- - -,0.3268,0.4563,0.2231,0.1326,0.4502,0.2941,0.0804,0.2785,0.1405,118.7999,0.1982,0.3251,0.4686,0.4987,2.8645,32.257,107.281,85.58,1.924,0.237,0.311,0.481,0.338,657,155.0
J.P. Crawford,15491,31,SEA,0.3263,0.3807,0.2547,0.0501,0.3538,0.1943,0.12,0.2989,0.0736,111.7338,0.09,0.4326,0.3387,0.3547,3.5101,11.317,53.641,69.904,4.7,0.25,0.346,0.37,0.319,588,156.5
Spencer Torkelson,27465,26,DET,0.3263,0.4408,0.2265,0.1206,0.4501,0.2604,0.1026,0.2792,0.1058,108.262,0.1335,0.309,0.5011,0.4792,2.7763,25.581,71.146,74.05,1.731,0.233,0.319,0.432,0.325,562,156.5
Austin Slater,16153,33,- - -,0.3262,0.4174,0.2425,0.099,0.4339,0.2956,0.0971,0.3144,0.1158,87.7629,0.1265,0.4901,0.2799,0.3772,4.3842,3.722,18.013,25.694,2.104,0.229,0.311,0.347,0.294,193,158.0
Jesse Winker,13590,31,- - -,0.326,0.3776,0.2375,0.0707,0.3606,0.2139,0.1297,0.2919,0.0806,108.6153,0.1081,0.4317,0.3471,0.373,3.142,10.958,51.632,53.663,7.735,0.239,0.351,0.371,0.323,409,160.0
Geraldo Perdomo,22799,26,ARI,0.326,0.3753,0.2538,0.0455,0.2843,0.1356,0.1215,0.3015,0.0435,120.5772,0.0736,0.3886,0.3955,0.4189,5.8972,13.537,76.156,84.384,20.779,0.275,0.369,0.418,0.346,570,160.0
Ryan McMahon,15112,31,- - -,0.326,0.4249,0.23,0.1147,0.4873,0.3072,0.1123,0.3088,0.138,87.9768,0.1699,0.4474,0.3509,0.3851,2.8453,18.9,60.606,67.408,3.122,0.229,0.319,0.397,0.313,611,160.0
Otto Lopez,19608,27,MIA,0.3259,0.424,0.2699,0.0647,0.3843,0.149,0.069,0.2809,0.0862,87.881,0.0875,0.4996,0.314,0.3704,4.4016,12.179,65.087,60.671,15.905,0.254,0.308,0.371,0.297,532,162.5
Tommy Pham,2967,38,PIT,0.3259,0.4151,0.2551,0.0761,0.463,0.2194,0.0958,0.2997,0.0885,95.7866,0.1085,0.4858,0.3256,0.3882,4.1917,8.83,51.858,50.936,5.325,0.247,0.321,0.383,0.309,473,162.5
Alex Kirilloff,20325,27,MIN,0.3258,0.434,0.2399,0.0905,0.3969,0.2552,0.0819,0.2939,0.1252,99.4338,0.1438,0.4453,0.3376,0.3771,3.353,7.711,30.111,26.699,0.459,0.238,0.309,0.411,0.311,223,164.0
Heliot Ramos,22515,26,SFG,0.3257,0.4386,0.243,0.1061,0.474,0.2378,0.0737,0.3154,0.1142,110.4491,0.1362,0.4382,0.3751,0.3433,3.5178,21.105,69.953,75.148,6.0,0.26,0.326,0.422,0.325,627,165.0
Nolan Schanuel,33189,24,LAA,0.3256,0.3777,0.259,0.041,0.2751,0.1437,0.1078,0.2856,0.0592,107.3914,0.0896,0.4365,0.3329,0.4106,3.5402,12.03,53.402,63.196,7.011,0.258,0.349,0.378,0.322,581,166.0
Austin Martin,27462,27,MIN,0.3253,0.3781,0.2701,0.0343,0.362,0.1766,0.1013,0.3315,0.0765,103.1262,0.0259,0.4664,0.275,0.4546,5.953,1.0,11.232,30.933,8.755,0.268,0.348,0.359,0.316,210,167.0
Nelson Velazquez,23359,26,KCR,0.3251,0.4519,0.2227,0.1286,0.417,0.2762,0.0826,0.2372,0.1548,94.7993,0.173,0.3824,0.472,0.4507,4.6429,10.232,28.877,30.938,1.759,0.21,0.283,0.429,0.306,210,168.5
Brandon Marsh,20202,28,PHI,0.3251,0.4179,0.2452,0.0892,0.4655,0.2928,0.0989,0.3644,0.1039,113.1166,0.1336,0.4102,0.3539,0.3736,5.6628,12.484,51.97,56.97,10.548,0.268,0.34,0.435,0.336,450,168.5
Richie Palacios,24589,28,TBR,0.325,0.342,0.247,0.035,0.302,0.212,0.142,0.28,0.104,101.0,0.071,0.379,0.354,0.465,6.7,4.9,21.0,46.0,17.48,0.223,0.346,0.318,0.303,316,170.5
Tyler Naquin,13359,32,- - -,0.325,0.456,0.248,0.096,0.408,0.278,0.057,0.291,0.159,92.0,0.129,0.39,0.399,0.376,6.5,9.9,46.0,47.0,3.04,0.229,0.282,0.423,0.303,334,170.5
MJ Melendez,22197,26,KCR,0.3247,0.4352,0.2346,0.0976,0.4663,0.2625,0.0932,0.2705,0.1395,90.0296,0.1223,0.3934,0.4205,0.4604,4.0919,16.556,50.808,53.765,4.554,0.219,0.295,0.398,0.301,511,172.0
Victor Caratini,14968,32,HOU,0.3245,0.4099,0.2553,0.0676,0.4196,0.1807,0.0713,0.2877,0.0906,103.9905,0.1245,0.4654,0.3442,0.4108,1.9178,9.18,38.674,31.732,0.525,0.258,0.326,0.399,0.317,321,173.0
Trea Turner,16252,33,PHI,0.3243,0.4259,0.2669,0.0671,0.4159,0.1818,0.0621,0.3368,0.1283,121.1674,0.1152,0.4579,0.3528,0.4179,6.702,16.792,70.662,94.507,21.525,0.294,0.343,0.461,0.347,623,174.0
Garrett Cooper,15279,33,- - -,0.3241,0.4384,0.2505,0.104,0.4176,0.2801,0.0723,0.3281,0.1355,98.8234,0.1594,0.437,0.3168,0.3781,1.4274,13.166,58.196,40.726,0.0,0.254,0.312,0.418,0.317,460,175.0
A.J. Pollock,9256,35,CHW,0.324,0.44,0.259,0.094,0.42,0.186,0.061,0.278,0.118,92.0,0.099,0.452,0.358,0.438,3.5,11.76,56.0,61.0,1.92,0.245,0.292,0.389,0.297,527,176.5
Luke Keaschall,33321,23,MIN,0.324,0.378,0.263,0.052,0.312,0.14,0.092,0.34,0.068,134.0,0.077,0.458,0.34,0.383,5.1,3.84,28.0,25.0,14.0,0.302,0.382,0.445,0.363,207,176.5
Ty France,17982,31,- - -,0.3239,0.4141,0.2503,0.0724,0.4127,0.1822,0.0577,0.2917,0.1041,97.6569,0.0802,0.4521,0.331,0.3656,2.1292,9.838,55.075,56.123,0.747,0.25,0.321,0.368,0.305,541,178.0
Trevor Larnach,21501,29,MIN,0.3235,0.4205,0.2443,0.0862,0.4577,0.2305,0.098,0.2981,0.1214,106.1676,0.1306,0.4279,0.3788,0.4093,3.1613,14.768,55.065,57.09,3.205,0.249,0.326,0.413,0.322,432,179.0
Mark Vientos,22184,26,NYM,0.3233,0.445,0.2433,0.123,0.4923,0.2706,0.0654,0.2916,0.1592,105.8684,0.1929,0.4349,0.3575,0.3991,2.2976,19.368,60.316,46.144,0.66,0.242,0.296,0.443,0.317,417,180.0
Addison Barger,24598,26,TOR,0.3229,0.4478,0.2487,0.1081,0.4808,0.2467,0.0698,0.2742,0.1145,98.6845,0.1511,0.4246,0.3862,0.4455,3.6125,17.757,63.934,52.028,3.562,0.233,0.29,0.431,0.309,395,181.0
Maikel Garcia,22715,26,KCR,0.3228,0.4028,0.2698,0.0474,0.4523,0.1532,0.0819,0.301,0.0601,99.7944,0.0656,0.4596,0.3392,0.361,6.3526,11.217,65.287,78.541,27.381,0.267,0.325,0.398,0.315,625,182.0
Elly De La Cruz,26668,24,CIN,0.3226,0.4249,0.2447,0.1083,0.4486,0.2868,0.0953,0.3443,0.1345,109.3918,0.1793,0.4994,0.307,0.4147,8.0597,21.238,77.442,98.678,46.837,0.259,0.333,0.447,0.335,647,183.5
Jake Cronenworth,18036,32,SDP,0.3226,0.3838,0.2368,0.0636,0.368,0.1938,0.1103,0.2836,0.0676,108.1349,0.0893,0.4109,0.3894,0.3473,3.7758,11.972,67.428,65.517,3.167,0.241,0.341,0.383,0.321,568,183.5
Masataka Yoshida,31837,32,BOS,0.3225,0.4072,0.264,0.0615,0.4043,0.127,0.0579,0.2999,0.0653,106.0419,0.1027,0.5009,0.2899,0.3897,3.5688,8.813,52.106,44.577,3.194,0.279,0.333,0.416,0.327,343,185.5
Joey Bart,21524,29,PIT,0.3225,0.4019,0.229,0.1006,0.4173,0.2802,0.1043,0.3427,0.1105,106.7377,0.1251,0.4969,0.3131,0.4319,1.8697,7.085,34.52,27.37,0.654,0.252,0.345,0.381,0.325,311,185.5
C.J. Kayfus,33704,24,CLE,0.322,0.427,0.242,0.092,0.368,0.275,0.08,0.28,0.164,96.0,0.125,0.372,0.372,0.379,6.8,3.88,19.0,16.0,4.0,0.22,0.292,0.415,0.306,138,188.5
Miles Mastrobuoni,20017,30,SEA,0.322,0.373,0.28,0.023,0.364,0.166,0.097,0.301,0.06,85.0,0.032,0.48,0.252,0.31,4.2,0.94,12.0,20.0,5.04,0.25,0.324,0.296,0.282,175,188.5
Gary Sanchez,11442,33,BAL,0.322,0.4413,0.2249,0.121,0.4793,0.2679,0.0776,0.253,0.1101,99.4707,0.1753,0.4076,0.4306,0.5008,1.9139,10.67,39.532,28.368,0.195,0.22,0.297,0.419,0.311,205,188.5
Isaac Collins,25477,28,MIL,0.322,0.359,0.246,0.049,0.389,0.211,0.129,0.326,0.089,122.0,0.094,0.411,0.343,0.411,5.7,8.82,54.0,56.0,14.72,0.263,0.368,0.411,0.344,441,188.5
Lenyn Sosa,22896,26,CHW,0.3218,0.4534,0.2652,0.0902,0.4266,0.2263,0.0327,0.301,0.103,90.7619,0.1152,0.3469,0.4094,0.3697,2.4369,16.748,59.297,45.556,2.12,0.256,0.285,0.407,0.298,420,191.0
Luis Arraez,18568,29,SDP,0.3217,0.3962,0.3006,0.0178,0.2101,0.0407,0.0487,0.3138,0.0248,111.3529,0.0408,0.4279,0.3076,0.3015,4.029,6.846,57.181,73.102,7.659,0.31,0.346,0.406,0.327,660,192.5
Marcus Semien,12533,35,TEX,0.3217,0.4078,0.2488,0.0663,0.3546,0.1584,0.0914,0.2598,0.0935,102.2976,0.0959,0.3588,0.4487,0.4834,4.8738,17.891,75.29,90.012,7.403,0.243,0.315,0.401,0.312,638,192.5
Shea Langeliers,25816,28,ATH,0.3213,0.4534,0.2381,0.1195,0.4428,0.2398,0.0713,0.2705,0.131,116.111,0.1808,0.3694,0.4457,0.4545,3.7367,27.791,72.057,63.569,4.816,0.247,0.302,0.486,0.335,499,194.5
Jeremy Pena,21636,28,HOU,0.3213,0.4108,0.2647,0.0658,0.3982,0.181,0.055,0.324,0.1315,114.1534,0.112,0.4956,0.3143,0.4405,5.3431,15.001,62.75,73.914,16.722,0.281,0.334,0.429,0.331,591,194.5
Jac Caglianone,35041,23,KCR,0.321,0.431,0.237,0.12,0.424,0.224,0.078,0.172,0.129,46.0,0.13,0.5,0.342,0.43,3.6,6.72,18.0,19.0,1.0,0.157,0.237,0.295,0.239,232,196.5
Ben Gamel,12160,31,PIT,0.321,0.388,0.244,0.062,0.376,0.232,0.113,0.291,0.095,95.0,0.096,0.433,0.348,0.398,4.1,8.28,46.0,42.0,4.0,0.232,0.324,0.369,0.308,423,196.5
Nathaniel Lowe,19566,30,- - -,0.3209,0.3897,0.2435,0.0675,0.4132,0.2414,0.1121,0.3094,0.0891,108.3658,0.1363,0.4555,0.3307,0.3198,2.9205,16.74,79.066,69.241,1.117,0.25,0.336,0.4,0.323,618,198.0
Mike Yastrzemski,14854,35,- - -,0.3207,0.4155,0.229,0.094,0.4228,0.2256,0.1126,0.2712,0.0835,106.212,0.1124,0.3291,0.4725,0.4484,4.343,14.288,49.372,64.231,3.257,0.231,0.322,0.417,0.321,502,199.0
Jung Hoo Lee,33824,27,SFG,0.3206,0.3891,0.2769,0.0381,0.3335,0.1104,0.0742,0.2885,0.0517,103.6888,0.0482,0.4709,0.3344,0.4174,5.7619,7.172,48.516,64.998,8.54,0.265,0.325,0.397,0.315,440,200.0
Gavin Sheets,19901,30,SDP,0.3201,0.4156,0.2496,0.0767,0.4087,0.201,0.0818,0.2748,0.0954,97.3846,0.0996,0.3762,0.4205,0.4175,2.2011,14.072,58.793,45.131,1.493,0.24,0.305,0.394,0.305,489,201.0
Keston Hiura,20003,26,MIL,0.32,0.439,0.203,0.153,0.452,0.417,0.086,0.355,0.184,115.0,0.298,0.371,0.379,0.419,5.1,13.86,32.0,34.0,5.0,0.226,0.316,0.449,0.334,266,202.5
Xander Bogaerts,12161,33,SDP,0.32,0.4024,0.2617,0.0626,0.3676,0.1703,0.0799,0.307,0.0817,106.9271,0.0912,0.4649,0.3409,0.4303,4.7729,11.418,53.188,65.464,12.417,0.271,0.331,0.403,0.32,550,202.5
Anthony Rendon,12861,35,LAA,0.3199,0.3611,0.238,0.0361,0.3843,0.1507,0.1106,0.2602,0.0523,80.0688,0.0194,0.3995,0.4149,0.354,3.9649,0.897,17.272,20.969,2.857,0.224,0.324,0.293,0.283,215,204.5
Lourdes Gurriel Jr.,19238,32,ARI,0.3199,0.4279,0.26,0.071,0.4064,0.1601,0.0557,0.2815,0.0941,101.7608,0.1079,0.39,0.4084,0.4113,4.0894,17.025,77.439,60.337,5.933,0.262,0.308,0.431,0.318,553,204.5
Ryan Jeffers,24618,29,MIN,0.3197,0.4056,0.2343,0.0789,0.3954,0.2114,0.0939,0.2982,0.0909,113.0643,0.1106,0.3851,0.42,0.389,2.6067,12.921,51.23,49.024,1.657,0.253,0.338,0.42,0.331,428,206.0
Luke Raley,19354,31,SEA,0.3196,0.41,0.2168,0.1131,0.4287,0.2995,0.0707,0.3038,0.1856,116.3068,0.1755,0.4572,0.3794,0.4569,5.2971,14.067,42.883,45.844,6.952,0.231,0.323,0.418,0.326,328,207.0
Brett Baty,26123,26,NYM,0.319,0.4241,0.2415,0.1054,0.4403,0.2558,0.0786,0.2967,0.1155,97.2563,0.1883,0.5224,0.2838,0.3894,4.0971,13.759,41.285,44.513,5.473,0.241,0.304,0.394,0.305,342,208.0
Rowdy Tellez,15679,31,- - -,0.3189,0.4375,0.2354,0.115,0.4202,0.2378,0.0733,0.2586,0.0969,94.4543,0.1454,0.3814,0.4427,0.3894,1.8586,15.368,54.851,37.161,0.742,0.23,0.289,0.416,0.304,368,209.5
Matt Vierling,21558,29,DET,0.3189,0.4052,0.2555,0.0717,0.4195,0.2152,0.0743,0.308,0.0736,98.6795,0.0873,0.426,0.3745,0.3467,5.0615,11.042,45.106,62.058,4.832,0.255,0.316,0.392,0.309,328,209.5
Cody Bellinger,15998,30,NYY,0.3188,0.4195,0.2502,0.0699,0.3548,0.1526,0.0814,0.2839,0.0877,119.6867,0.1142,0.3419,0.4669,0.4433,5.4004,23.449,90.72,84.267,10.989,0.273,0.331,0.468,0.34,607,211.0
Steven Kwan,24610,28,CLE,0.3187,0.3707,0.2768,0.0189,0.2037,0.0924,0.0882,0.2926,0.0328,108.332,0.0555,0.3915,0.3575,0.3124,5.1466,10.068,52.443,84.294,17.188,0.278,0.344,0.387,0.322,649,212.0
Andy Pages,24816,25,LAD,0.3185,0.4298,0.2549,0.0911,0.3806,0.2246,0.0518,0.3068,0.1082,108.3899,0.1272,0.3439,0.4328,0.4104,3.9234,22.243,73.706,71.234,10.005,0.265,0.311,0.444,0.325,554,213.5
Nico Hoerner,21479,29,CHC,0.3185,0.3757,0.2842,0.019,0.3023,0.0939,0.0644,0.3075,0.0508,105.7812,0.0426,0.4535,0.3342,0.3552,6.1763,7.217,58.238,88.451,27.977,0.287,0.341,0.387,0.32,646,213.5
Tyler Freeman,22532,27,COL,0.3184,0.3626,0.2637,0.0256,0.383,0.1304,0.0754,0.2839,0.0589,88.0157,0.0453,0.4891,0.308,0.3727,5.3827,3.811,30.206,46.757,14.001,0.254,0.333,0.348,0.305,365,215.5
Adolis Garcia,19287,33,TEX,0.3184,0.4471,0.2323,0.1272,0.4769,0.2645,0.0677,0.2741,0.1537,96.7837,0.1428,0.3744,0.4484,0.4041,4.1917,22.139,85.837,72.471,8.928,0.231,0.288,0.421,0.304,595,215.5
Yoan Moncada,17232,31,LAA,0.3183,0.4208,0.2277,0.1261,0.415,0.2716,0.0914,0.2992,0.1278,107.2959,0.1534,0.3844,0.3907,0.4689,3.1606,10.782,38.219,39.227,0.406,0.239,0.32,0.431,0.325,318,217.0
