Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Nico Hoerner","CHC",154,665,607,171,128,30,3,9,79,65,43,1,62,10,4,1,,27,7,0.281176,0.0640458,0.0929927,0.688718,0.336163,0.387154,0.317814,0.723316,0.105977,5.53547,0.298653,0.776233,1.56297,81.1445,2.5696,105.09,2.33921,7.68854,6.351317405700684,10.163535356521606,3.95331,104.80000305175781,,,,,,,730,4.74025974,730,4.74025974,,,,,,,,,,,,,,,,,,,"Nico Hoerner","21479",663538
"Gabriel Moreno","ARI",115,456,406,113,80,21,1,11,54,56,43,2,77,4,3,0,,4,2,0.279127,0.0946716,0.169755,0.557696,0.351175,0.421403,0.336452,0.772578,0.142276,3.55738,0.318121,0.308367,-0.838343,62.5694,8.66583,115.081,-0.529975,5.44994,7.62420517206192,13.424942970275879,3.93345,178.69000244140625,,,,,,,539.8,4.693913043,539.8,4.693913043,,,,,,,,,,,,,,,,,,,"Gabriel Moreno","22664",672515
"Bryce Harper","PHI",154,665,574,157,91,37,0,29,90,95,81,8,143,5,5,0,,11,3,0.273523,0.121584,0.215225,0.564915,0.365429,0.492156,0.365775,0.857586,0.218633,3.47409,0.314058,0.1699,-0.29281,107.039,28.4642,134.542,-0.12291,0.517829,27.10189774632454,-11.457171559333801,3.86429,46.97999954223633,,,,,,,955.6,6.205194805,955.6,6.205194805,,,,,,,,,,,,,,,,,,,"Bryce Harper","11579",547180
"Dansby Swanson","CHC",159,686,619,149,98,27,2,22,82,80,58,1,174,4,4,1,,16,4,0.240991,0.0852612,0.253943,0.33575,0.308505,0.398237,0.308159,0.706742,0.157246,4.90793,0.298196,0.758538,0.537941,78.3292,-2.72698,98.4762,1.29648,6.66172,0.05755412578582764,14.011716365814209,3.77458,149.11000061035156,,,,,,,717.1,4.510062893,717.1,4.510062893,,,,,,,,,,,,,,,,,,,"Dansby Swanson","18314",621020
"Alex Bregman","CHC",156,672,584,146,93,29,1,23,87,82,74,2,96,9,5,1,,3,1,0.250065,0.109718,0.142995,0.767285,0.340513,0.421161,0.332748,0.761674,0.171097,3.03965,0.262256,-0.637295,-1.06065,90.1466,10.7446,115.321,-1.69794,0.904023,10.504364013671875,3.30402272939682,3.70023,119.08000183105469,,,,,,,791.5,5.073717948,791.5,5.073717948,,,,,,,,,,,,,,,,,,,"Alex Bregman","17678",608324
"Maikel Garcia","KCR",154,665,598,161,111,33,5,13,87,69,57,0,100,2,5,3,,27,7,0.26925,0.0851697,0.150207,0.567014,0.33167,0.404242,0.321618,0.735912,0.134992,6.102,0.301914,0.582,1.301,83.1982,4.62335,103.078,1.883,6.17723,4.2953290939331055,8.652225971221924,3.66645,66.48999786376953,,,,,,,758.7,4.926623376,758.7,4.926623376,,,,,,,,,,,,,,,,,,,"Maikel Garcia","22715",672580
"Austin Riley","ATL",156,672,608,159,95,31,2,30,88,93,51,1,174,8,5,0,,3,1,0.261233,0.0758558,0.258829,0.293073,0.323946,0.469942,0.340644,0.793888,0.208709,3.29313,0.314569,-0.0774272,-0.931811,94.4546,15.0526,118.466,-1.00924,-2.64074,13.698536992073059,-0.6407421827316284,3.62344,63.130001068115234,,,,,,,845.6,5.42051282,845.6,5.42051282,,,,,,,,,,,,,,,,,,,"Austin Riley","18360",663586
"Masyn Winn","STL",149,644,586,150,103,30,2,15,81,67,45,0,114,6,4,2,,13,4,0.255429,0.0703883,0.177501,0.396551,0.312782,0.388646,0.307039,0.701428,0.133217,4.92511,0.292788,0.967215,-0.141986,72.9479,-3.14562,98.0647,0.825229,7.6352,-0.6519231200218201,14.535202503204346,3.61258,313.989990234375,,,,,,,659.9,4.42885906,659.9,4.42885906,,,,,,,,,,,,,,,,,,,"Masyn Winn","27479",691026
"Michael Harris II","ATL",134,581,546,150,97,27,4,22,71,78,24,1,112,5,4,2,,18,5,0.275203,0.0415545,0.191938,0.2165,0.309433,0.459948,0.329012,0.76938,0.184745,5.7277,0.308185,0.499985,0.793894,76.1767,7.52705,110.498,1.29388,5.25294,8.522785425186157,7.327938795089722,3.59943,100.81999969482422,,,,,,,709.1,5.291791044,709.1,5.291791044,,,,,,,,,,,,,,,,,,,"Michael Harris II","25931",671739
"Jeremy Peña","HOU",141,609,557,151,104,28,2,17,76,69,35,1,109,11,4,2,,16,5,0.270686,0.0582178,0.178302,0.326512,0.324703,0.421322,0.323944,0.746025,0.150637,5.12693,0.306909,0.619179,0.430826,77.3423,5.38425,108.272,1.05001,0.478705,6.987718939781189,7.003705412149429,3.57605,103.27999877929688,,,,,,,695.4,4.931914893,695.4,4.931914893,,,,,,,,,,,,,,,,,,,"Jeremy Pena","21636",665161
