Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Harrison Bader","SFG",123.045,486.512,442.199,107.613,72.8665,19.3905,1.78369,13.5718,58.0708,50.975,31.7874,0.289554,116.183,8.03079,3.83892,0.656217,6.2468,13.5285,4.73384,0.243358,0.0653373,0.238808,0.273598,0.303445,0.38735,0.30198,0.690796,0.143993,5.161,0.297331,0.052191,0.0251041,53.1106,-4.37454,92.153,0.0772951,-0.512475,-4.434857599437237,1.3863675594329834,1.37274,476.4200134277344,2.31748,-0.287433,0.531679,2.31748,0.287433,4.29109,493.5,4.012195121,493.5,4.012195121,,,,,,,,,,,,,,,,,,,"Harrison Bader","18030",664056
"Addison Barger","TOR",114.816,470.267,425.918,101.894,59.4857,24.2554,0.910834,17.242,56.2133,59.9459,37.8754,1.93925,114.027,3.70591,2.59223,0.175359,6.38347,3.85695,1.26624,0.239234,0.0805403,0.242474,0.332161,0.305207,0.421906,0.313903,0.727113,0.182672,3.60791,0.284793,-0.0941166,-0.401568,55.8896,0.323908,101.384,-0.495685,-0.314363,0.271308958530426,-3.043970137834549,1.37233,198.8800048828125,2.81152,-1.168,0.258592,2.81152,1.168,4.65521,511.1,4.444347826,511.1,4.444347826,,,,,,,,,,,,,,,,,,,"Addison Barger","24598",680718
"Kyle Manzardo","CLE",126.496,518.766,457.539,108.831,60.251,22.8831,1.0256,24.6713,59.1585,69.7324,49.7244,1.88034,123.662,6.18925,5.15305,0.160486,6.32633,1.93107,0.411537,0.237862,0.0958513,0.238377,0.4021,0.317669,0.454124,0.33143,0.771792,0.216262,2.70122,0.267719,-0.111703,-0.536786,69.0353,7.73911,114.038,-0.648489,-0.5948,7.934572279453278,-12.444834887981415,1.36534,245.0800018310547,2.15127,-0.0264269,0.737283,2.15127,0.0264269,4.01696,631.6,5.012698412,631.6,5.012698412,,,,,,,,,,,,,,,,,,,"Kyle Manzardo","29794",700932
"Jung Hoo Lee","SFG",136.896,568.8,516.232,137.745,94.336,29.3073,5.75907,8.34243,65.0255,55.613,43.04,1.00013,63.5883,5.24909,3.63679,0.642641,8.74808,9.14954,2.9717,0.266827,0.075668,0.111794,0.676855,0.327434,0.394392,0.315461,0.721825,0.127564,5.18733,0.288885,0.518454,-0.322019,68.3194,1.11126,101.414,0.196435,-2.1097,1.1468024551868439,-7.087659597396851,1.36176,335.1600036621094,2.65119,-0.862903,0.862654,2.65119,0.862903,3.84979,603,4.401459854,603,4.401459854,,,,,,,,,,,,,,,,,,,"Jung Hoo Lee","33824",808982
"Dylan Crews","WSN",136.436,563.723,511.71,120.592,79.3104,21.6393,3.57341,16.0687,67.0346,59.6604,39.5546,0.34446,125.273,8.80895,3.36874,0.280119,8.37243,25.0514,6.89375,0.235664,0.0701669,0.222224,0.315748,0.299863,0.386125,0.300038,0.685988,0.150461,6.30476,0.27967,-0.201964,1.34658,60.6505,-5.95767,91.1411,1.14461,2.61005,-4.774281978607178,-0.7339708805084229,1.35533,167.8800048828125,2.87605,-1.29721,1.01979,2.87605,1.29721,3.64028,577.5,4.246323529,577.5,4.246323529,,,,,,,,,,,,,,,,,,,"Dylan Crews","33541",686611
"Davis Schneider","TOR",86.3453,327.046,280.944,61.7971,34.7906,12.4794,0.942884,13.5842,39.5483,38.5661,39.7419,0.00726989,92.6403,3.77492,2.16099,0.424922,3.32095,4.07583,1.04011,0.219963,0.121518,0.283263,0.428992,0.322434,0.416151,0.323611,0.738585,0.196188,4.10283,0.272574,-0.182445,-0.127689,41.4459,2.80283,108.071,-0.310134,1.00249,2.800838202238083,-0.9093447923660278,1.34519,999,1.72857,-1.7045,0.649567,1.72857,1.7045,4.13391,375.1,4.361627906,375.1,4.361627906,,,,,,,,,,,,,,,,,,,"Davis Schneider","23565",676914
"Danny Jansen","TEX",89.8774,332.945,289.565,60.9825,36.2782,12.3698,0.182101,12.1525,36.39,37.8334,35.9382,0.127994,77.8483,4.6506,2.08577,0.704651,3.97893,0.812551,0.191234,0.2106,0.10794,0.233818,0.461644,0.305717,0.380481,0.303113,0.686198,0.16988,2.11707,0.242152,-0.388947,-0.422409,36.6525,-2.68744,94.7527,-0.811356,-2.48499,-2.870480537414551,4.449992418289185,1.33404,999,1.95009,-0.935235,0.585766,1.95009,0.935235,4.21898,324.1,3.601111111,324.1,3.601111111,,,,,,,,,,,,,,,,,,,"Danny Jansen","16535",643376
"José Caballero","NYY",95.0621,360.446,310.407,69.7793,48.1209,14.0034,0.993372,6.66163,45.7462,30.3891,38.7601,0.266778,90.8885,6.37586,2.37518,2.52741,2.88748,38.2473,8.51792,0.224799,0.107534,0.252155,0.426458,0.321065,0.340695,0.297392,0.66176,0.115896,6.95146,0.293253,-1.1019,3.54734,38.0056,-4.58388,89.0008,2.44544,0.304034,-2.240400552749634,3.0380023419857025,1.32972,204.69000244140625,4.35404,0.584393,2.2291,4.35404,-0.584393,2.02786,376.1,3.958947368,376.1,3.958947368,,,,,,,,,,,,,,,,,,,"Jose Caballero","23401",676609
"Eugenio Suárez","CIN",142.601,599.163,532.671,124.599,67.1799,22.8164,0.789129,33.8136,76.105,94.8546,49.4158,0.802843,175.866,10.692,6.17413,0.210094,7.53122,2.75321,0.873417,0.233913,0.0824746,0.293519,0.280985,0.308383,0.470148,0.333235,0.778531,0.236235,3.09767,0.275804,-1.27533,-0.642049,80.6123,9.81657,108.981,-1.91737,-0.374436,4.460629105567932,-11.427617341279984,1.32672,100.75,2.56699,-0.562888,1.47845,2.56699,0.562888,3.02873,741.9,5.188111888,741.9,5.188111888,,,,,,,,,,,,,,,,,,,"Eugenio Suarez","12552",553993
"Sal Stewart","CIN",119.788,483.702,438.093,115.194,71.8126,24.317,0.390814,18.6739,61.0774,64.0297,37.4503,0.480015,94.4562,4.46644,3.44773,0.245054,8.0287,6.89468,2.08102,0.262945,0.0774242,0.195278,0.396483,0.324974,0.448112,0.333901,0.773086,0.185167,3.81216,0.293902,0.0334126,-0.220912,65.3398,8.18668,109.438,-0.187499,0.286366,5.223238319158554,-8.545705169439316,1.30657,183.1199951171875,2.30712,0.0402387,0.442143,2.30712,-0.0402387,4.41048,584.9,4.874166666,584.9,4.874166666,,,,,,,,,,,,,,,,,,,"Sal Stewart","31505",701398
