Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tyler Mattison","DET",1,1,0,4.64017,11,0,0,1,,11,49,11,6,6,2,6,,0,10,8.27886,4.50721,1.8368,1.32836,0.207839,0.113153,0.09468673169612885,0.248666,1.4689,0.290371,0.720017,,,4.81222,-0.0186458,-0.0202072,999,,,,,,,34.2,3.1090909090909093,35,3.1818181818181817,,,,,,,,,,,,,,,,,,,"Tyler Mattison","sa3018117",694331
"Joel Hurtado","LAA",0,1,0,5.07499,8,0,0,1,,8,36,9,5,5,1,3,,1,5,5.84992,3.69859,1.58166,1.29234,0.145071,0.0917205,0.05335021764039993,0.274203,1.50927,0.297246,0.689584,,,5.12692,-0.0188805,-0.0313499,999,,,,,,,25.500000000000007,3.187500000000001,29,3.625,,,,,,,,,,,,,,,,,,,"Joel Hurtado","sa3019774",805871
"Brent Suter","LAA",2,3,0,4.50307,60,0,0,12,,60,259,63,32,30,8,19,,2,47,6.98797,2.82995,2.46929,1.25477,0.179973,0.0728844,0.10708849132061005,0.264665,1.3631,0.298468,0.707795,,,4.45073,-0.0191032,-0.0581036,999,,,,,,,260.8,4.346666666666667,275,4.583333333333333,,,,,,,,,,,,,,,,,,,"Brent Suter","13942",608718
"Blas Castaño","SEA",0,1,0,4.40233,9,0,0,1,,9,39,9,5,4,1,3,,1,6,6.47495,3.01294,2.14905,1.14629,0.16466,0.07662,0.08804009109735489,0.258749,1.356,0.288344,0.699333,,,4.61939,-0.0194447,-0.030414,999,,,,,,,34.90000000000001,3.877777777777779,36,4,,,,,,,,,,,,,,,,,,,"Blas Castano","26117",680604
"Kendall Graveman",,2,2,0,4.34982,36,0,0,0,,36,161,36,19,17,4,18,,2,32,8.0448,4.38257,1.83564,1.04892,0.200062,0.108988,0.0910739079117775,0.251603,1.47568,0.298764,0.730249,,,4.47718,-0.0195649,-0.0178446,999,,,,,,,127.60000000000005,3.544444444444446,132,3.6666666666666665,,,,,,,,,,,,,,,,,,,"Kendall Graveman","15514",608665
"Juan Morillo","ARI",2,1,0,4.23593,27,0,0,1,,27,121,26,14,13,3,14,,1,25,8.20095,4.80868,1.70545,0.926687,0.202781,0.118902,0.08387895673513412,0.250059,1.51356,0.301969,0.73105,,,4.38372,-0.0195774,-0.0112366,999,,,,,,,104.30000000000001,3.8629629629629636,105,3.888888888888889,,,,,,,,,,,,,,,,,,,"Juan Morillo","21924",666661
"Walbert Urena","LAA",1,1,0,4.91732,12,0,0,1,,12,54,12,7,7,1,6,,1,9,6.76599,4.522,1.49624,1.10262,0.167113,0.111688,0.05542422831058502,0.263336,1.53917,0.298508,0.691443,,,4.90942,-0.0196541,-0.031932,999,,,,,,,46.30000000000001,3.8583333333333343,48,4,,,,,,,,,,,,,,,,,,,"Walbert Urena","sa3018298",700712
"Ty Adcock","SDP",1,1,0,4.29101,26,0,0,1,,26,112,25,13,12,4,10,,1,24,8.24355,3.48378,2.36627,1.27239,0.21223,0.08969,0.12254031002521515,0.247209,1.35021,0.289484,0.730683,,,4.40072,-0.0196686,-0.0140471,999,,,,,,,97.19999999999999,3.738461538461538,97,3.730769230769231,,,,,,,,,,,,,,,,,,,"Ty Adcock","25651",686654
"Daniel Espino","CLE",1,1,0,4.27259,23,0,0,0,,23,101,21,12,11,4,12,,0,25,9.92343,4.68606,2.11765,1.37825,0.25,0.118056,0.1319444477558136,0.237154,1.43951,0.292398,0.75,,,4.5287,-0.0198187,-0.0285132,999,,,,,,,80.4,3.4956521739130437,77,3.347826086956522,,,,,,,,,,,,,,,,,,,"Daniel Espino","sa3011495",682982
"Max Lazar","PHI",2,2,0,4.54042,38,0,0,1,,38,163,39,21,19,5,12,,1,30,7.07668,2.9001,2.44015,1.29436,0.183102,0.0750371,0.10806486010551453,0.25925,1.34527,0.291515,0.703006,,,4.47666,-0.0199474,-0.0468923,999,,,,,,,143.29999999999998,3.771052631578947,150,3.9473684210526314,,,,,,,,,,,,,,,,,,,"Max Lazar","23426",676661
"Génesis Cabrera","PHI",1,1,0,4.67728,16,0,0,1,,16,69,15,9,8,3,7,,1,15,8.24772,3.96105,2.08221,1.42188,0.211141,0.101402,0.10973819345235825,0.250211,1.40342,0.290146,0.716383,,,4.8272,-0.0199883,-0.0246582,999,,,,,,,52.5,3.28125,51,3.1875,,,,,,,,,,,,,,,,,,,"Genesis Cabrera","17490",650893
"Connor Phillips","CIN",3,4,0,4.62977,56,0,0,7,,56,246,50,31,29,8,28,,4,60,9.56579,4.46684,2.14151,1.28497,0.242134,0.113067,0.12906713038682938,0.234728,1.39483,0.288202,0.706571,,,4.55052,-0.0201943,-0.0471482,999,,,,,,,238.0000000000001,4.250000000000002,228,4.071428571428571,,,,,,,,,,,,,,,,,,,"Connor Phillips","27649",683175
"Tayler Scott","ATL",1,1,0,4.57776,16,0,0,1,,16,71,16,9,8,2,8,,1,15,8.32599,4.26674,1.95137,1.17503,0.209043,0.107126,0.10191688686609268,0.252864,1.46186,0.300706,0.713323,,,4.5395,-0.0206944,-0.0288225,999,,,,,,,59.20000000000001,3.7000000000000006,61,3.8125,,,,,,,,,,,,,,,,,,,"Tayler Scott","13652",605463
"Jack Neely","CHC",1,1,0,4.46607,16,0,0,1,,16,70,15,9,8,2,8,,1,16,9.0072,4.34385,2.07355,1.28425,0.227955,0.109934,0.11802048981189728,0.237079,1.39456,0.284584,0.717173,,,4.62026,-0.0208884,-0.0345448,999,,,,,,,63.80000000000001,3.9875000000000007,63,3.9375,,,,,,,,,,,,,,,,,,,"Jack Neely","30106",680891
"Karson Milbrandt","MIA",0,1,0,4.71615,12,0,0,1,,12,54,12,7,6,2,6,,1,10,7.6452,4.55764,1.67745,1.162,0.189913,0.113215,0.0766974687576294,0.251123,1.48682,0.29099,0.705394,,,4.8211,-0.0209707,-0.0275431,999,,,,,,,36.000000000000014,3.0000000000000013,37,3.0833333333333335,,,,,,,,,,,,,,,,,,,"Karson Milbrandt","sa3020659",703596
"Drew Smith","WSN",1,1,0,4.5649,21,0,0,1,,21,91,20,12,11,3,9,,1,21,8.90089,4.00386,2.22307,1.4328,0.22763,0.102394,0.12523596733808517,0.243685,1.38665,0.288079,0.71814,,,4.66677,-0.0221583,-0.0432543,999,,,,,,,82.5,3.9285714285714284,82,3.9047619047619047,,,,,,,,,,,,,,,,,,,"Drew Smith","17755",622098
"Eli Morgan","KCR",1,1,0,4.57137,24,0,0,1,,24,103,24,13,12,4,9,,1,20,7.66078,3.2115,2.38542,1.33814,0.199009,0.0834273,0.11558166891336441,0.252478,1.33942,0.288359,0.700237,,,4.52178,-0.0228099,-0.0264806,999,,,,,,,80.00000000000003,3.3333333333333344,82,3.4166666666666665,,,,,,,,,,,,,,,,,,,"Eli Morgan","20203",669212
"Albert Suárez","BAL",1,1,0,4.52141,25,0,0,1,,25,109,27,14,13,4,8,,1,21,7.53503,2.9232,2.57766,1.35921,0.192297,0.0746014,0.11769580841064453,0.265611,1.38763,0.302604,0.718618,,,4.48106,-0.02371,-0.0622112,999,,,,,,,84.60000000000001,3.3840000000000003,92,3.68,,,,,,,,,,,,,,,,,,,"Albert Suarez","6175",544150
"Juan Sanchez","SFG",1,1,0,4.28862,14,0,0,1,,14,62,14,7,7,2,7,,1,12,7.77201,4.24247,1.83195,1.073,0.195596,0.106769,0.08882704377174377,0.250864,1.44911,0.294547,0.728298,,,4.51065,-0.0239551,-0.0105697,999,,,,,,,46.6,3.3285714285714287,48,3.4285714285714284,,,,,,,,,,,,,,,,,,,"Juan Sanchez","sa3005444",678738
"James Karinchak","ATL",2,1,0,4.39235,30,0,0,1,,30,130,26,16,15,4,16,,1,34,10.2285,4.94688,2.06766,1.27775,0.261387,0.126417,0.13496986031532288,0.227874,1.40785,0.287914,0.727385,,,4.45329,-0.0244185,-0.0276276,999,,,,,,,126.20000000000002,4.206666666666667,119,3.966666666666667,,,,,,,,,,,,,,,,,,,"James Karinchak","20151",675916
"Tommy Kahnle",,2,2,0,4.42647,44,0,0,0,,44,192,41,23,22,5,22,,2,39,8.04018,4.41697,1.82029,1.07701,0.205241,0.112752,0.09248951077461243,0.245864,1.43011,0.291954,0.711065,,,4.50061,-0.0250191,0.0031058,740.219970703125,,,,,,,163.50000000000003,3.7159090909090917,161,3.659090909090909,,,,,,,,,,,,,,,,,,,"Tommy Kahnle","11384",592454
"Cameron Foster","BAL",2,2,0,4.4738,32,0,0,1,,32,140,32,17,16,5,12,,1,28,7.90978,3.4729,2.27757,1.32698,0.201203,0.088341,0.11286181956529617,0.256566,1.40067,0.296128,0.726191,,,4.53251,-0.0251649,-0.0510654,999,,,,,,,113.10000000000001,3.5343750000000003,116,3.625,,,,,,,,,,,,,,,,,,,"Cameron Foster","sa3020735",671382
"Zach Brzykcy","MIA",1,1,0,4.72656,16,0,0,1,,16,71,15,9,8,2,8,,1,15,8.56131,4.46287,1.91834,1.24146,0.213932,0.111519,0.10241243988275528,0.246171,1.45554,0.292516,0.705693,,,4.67036,-0.0252456,-0.0268105,999,,,,,,,61.80000000000001,3.8625000000000007,61,3.8125,,,,,,,,,,,,,,,,,,,"Zach Brzykcy","27783",694350
"Domingo Gonzalez","SEA",1,1,0,4.30577,18,0,0,1,,18,78,17,9,9,2,8,,1,16,8.11752,3.92186,2.06981,1.13213,0.206994,0.100006,0.10698815435171127,0.240368,1.35978,0.283416,0.714991,,,4.506,-0.025738,-0.0283928,999,,,,,,,73.40000000000002,4.077777777777779,73,4.055555555555555,,,,,,,,,,,,,,,,,,,"Domingo Gonzalez","sa3007495",682445
"Troy Taylor","SEA",1,1,0,4.3457,28,0,0,1,,28,123,26,15,14,4,13,,2,26,8.33608,4.02334,2.07193,1.13672,0.211386,0.102023,0.10936210304498672,0.242139,1.38235,0.287886,0.71443,,,4.48165,-0.0259068,-0.0773542,999,,,,,,,101.40000000000006,3.6214285714285737,99,3.5357142857142856,,,,,,,,,,,,,,,,,,,"Troy Taylor","31883",700187
"Alex Hoppe","SEA",1,1,0,4.22493,22,0,0,1,,22,97,21,11,10,3,10,,1,20,7.99089,4.15523,1.92309,1.09617,0.202314,0.105202,0.0971112921833992,0.24827,1.4276,0.293004,0.732218,,,4.43696,-0.0262048,-0.0347969,999,,,,,,,82.30000000000001,3.7409090909090916,82,3.727272727272727,,,,,,,,,,,,,,,,,,,"Alex Hoppe","sa3020836",695380
"Justin Bruihl","STL",3,3,0,4.07625,54,0,0,10,,54,235,53,27,24,6,21,,5,47,7.7823,3.44063,2.26188,1.00454,0.198691,0.0878434,0.1108478531241417,0.250618,1.35478,0.296439,0.719418,,,4.27162,-0.026245,0.0403513,999,,,,,,,244,4.518518518518518,248,4.592592592592593,,,,,,,,,,,,,,,,,,,"Justin Bruihl","23779",677865
