Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Chad Patrick","MIL",7.71157,8.76929,9.20258,4.40019,24.402,24.402,0,0,,131.476,555.635,123.398,68.77,64.28,21.0955,39.4692,0.439762,5.11473,123.963,8.48568,2.70181,3.14074,1.44406,0.223101,0.0710344,0.15206608176231384,0.241459,1.23876,0.27952,0.705728,,,4.35261,1.90659,1.2571,307.45001220703125,,,,,,,507.3000000000001,3.8725190839694665,498,3.801526717557252,,,,,,,,,,,,,,,,,,,"Chad Patrick","30113",694477
"Taj Bradley","MIN",7.47794,9.4585,5.83015,4.30258,28.94,23.235,0,0.6268,,130.84,556.787,122.101,66.89,62.55,18.0988,46.1502,0.889641,4.53668,120.587,8.29477,3.1745,2.61294,1.24495,0.216578,0.0828867,0.13369093090295792,0.241259,1.28593,0.283066,0.709251,,,4.2523,1.89142,1.39374,539.3800048828125,,,,,,,523.8000000000002,3.9984732824427494,514,3.9236641221374047,,,,,,,,,,,,,,,,,,,"Taj Bradley","22543",671737
"Reid Detmers","LAA",6.79501,10.0015,5.67456,4.47922,30.437,23.173,0,0.6225,,135.365,580.219,126.192,72.15,67.37,20.7071,49.3296,1.37451,6.70781,149.481,9.93854,3.27977,3.03025,1.37675,0.257629,0.085019,0.17261002212762833,0.240742,1.29666,0.297987,0.705456,,,4.15713,1.88382,1.12778,329.1300048828125,,,,,,,547.1,4.0525925925925925,536,3.9703703703703703,,,,,,,,,,,,,,,,,,,"Reid Detmers","27468",672282
"Ryan Pepiot","TBR",9.16831,11.2669,12.4765,4.51023,29.574,29.574,0,0,,166.661,709.382,150.587,89.38,83.52,27.8132,61.2844,0.460997,8.25311,163.82,8.8466,3.30947,2.67312,1.50196,0.230934,0.0863913,0.14454276859760284,0.235349,1.27127,0.27392,0.708317,,,4.59044,1.883,1.49893,126.98999786376953,,,,,,,619.8,3.7113772455089817,592,3.5449101796407185,,,,,,,,,,,,,,,,,,,"Ryan Pepiot","26221",686752
"Landen Roupp","SFG",7.12855,8.91706,5.04995,4.22376,27.677,22.556,0,0.6515,,121.264,521.107,115.695,61.09,56.91,13.5055,47.0932,0.929512,4.86928,110.302,8.18639,3.49517,2.3422,1.00235,0.211668,0.0903713,0.1212964728474617,0.246609,1.34243,0.295913,0.706824,,,4.0493,1.85807,1.38715,690.9400024414062,,,,,,,489.6,4.046280991735538,491,4.0578512396694215,,,,,,,,,,,,,,,,,,,"Landen Roupp","30076",694738
"Jack Leiter","TEX",9.38501,10.6419,11.9738,4.53027,29.218,29.218,0,0,,162.507,694.889,146.75,87.18,81.8,24.7505,63.7368,0.477311,7.62228,153.337,8.49216,3.52989,2.40579,1.37074,0.220664,0.0917223,0.1289421170949936,0.235353,1.29525,0.273883,0.701259,,,4.54529,1.85544,1.44997,233.72999572753906,,,,,,,606.5,3.7208588957055215,580,3.558282208588957,,,,,,,,,,,,,,,,,,,"Jack Leiter","30146",683004
"Simeon Woods Richardson","MIN",7.76968,10.0475,6.52344,4.45746,28.582,24.489,0,0.6268,,132.008,563.072,122.697,69.71,65.38,18.1778,47.7843,0.75136,4.50995,117.938,8.04074,3.25782,2.46814,1.23932,0.209454,0.0848634,0.12459102272987366,0.240215,1.29144,0.278968,0.694819,,,4.32687,1.84729,1.16579,621.0900268554688,,,,,,,516.6000000000001,3.9136363636363645,507,3.840909090909091,,,,,,,,,,,,,,,,,,,"Simeon Woods Richardson","24494",680573
"Jacob Lopez","ATH",7.57056,8.42295,9.19394,4.39985,23.513,23.513,0,0,,128.602,548.815,114.305,67.37,62.87,20.1424,49.6578,0.404453,6.87412,139.811,9.78447,3.47522,2.8155,1.40963,0.254751,0.0904817,0.16426943987607956,0.232194,1.27497,0.283342,0.711479,,,4.31571,1.83243,1.33302,529.1900024414062,,,,,,,521.1999999999999,4.040310077519379,494,3.8294573643410854,,,,,,,,,,,,,,,,,,,"Jacob Lopez","25098",682052
"Chris Bassitt","BAL",10.4266,11.013,10.421,4.59537,32.168,28.271,0,0.6611,,165.61,714.461,161.008,90.35,84.56,23.6166,59.5623,0.928689,10.4102,141.462,7.68768,3.23689,2.37502,1.28343,0.197998,0.0833668,0.11463125795125961,0.249822,1.33186,0.286584,0.694481,,,4.54815,1.82319,1.29091,369.05999755859375,,,,,,,590.6,3.557831325301205,594,3.5783132530120483,,,,,,,,,,,,,,,,,,,"Chris Bassitt","12304",605135
"Logan Henderson","MIL",5.84369,6.98425,2.38576,3.99621,31.744,17.472,0,0.621,,109.206,449.944,93.0842,51.92,48.49,18.1819,29.71,1.25722,3.88959,118.234,9.744,2.44849,3.9796,1.49842,0.262774,0.0660304,0.19674404710531235,0.223575,1.12443,0.267576,0.728113,,,4.05721,1.81936,1.43513,269.4700012207031,,,,,,,481.3999999999999,4.416513761467889,449,4.1192660550458715,,,,,,,,,,,,,,,,,,,"Logan Henderson","31475",701656
