Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Caleb Durbin","BOS",131.822,525.58,472.09,118.807,84.0208,23.7,1.43951,9.6467,60.4422,50.2818,33.1206,0.99312,55.2336,12.9508,4.02889,3.38936,11.2236,19.1969,4.56608,0.251661,0.0630173,0.105091,0.599646,0.315744,0.369264,0.301835,0.685008,0.117603,5.36514,0.265442,,1.11722,57.3136,-4.78772,88.2708,1.11722,0.66,-6.1485453844070435,2.6942901015281677,1.49738,225.9199981689453,,,,,,,523.8,3.968181818,523.8,3.968181818,,,,,,,,,,,,,,,,,,,"Caleb Durbin","29646",702332
"Kerry Carpenter","DET",115.881,477.795,435.558,109.367,62.7091,19.4307,2.9934,24.2336,61.2039,69.0796,30.4366,1.36313,113.409,6.93769,3.53399,0.503667,7.09285,2.66026,0.983593,0.251096,0.0637022,0.237358,0.26838,0.307978,0.476366,0.334436,0.784343,0.22527,4.06949,0.282412,,-0.522465,64.7494,8.29428,114.674,-0.522465,-0.03,7.7408246994018555,-9.584561614319682,1.49388,236.24000549316406,,,,,,,586.1,5.052586206,586.1,5.052586206,,,,,,,,,,,,,,,,,,,"Kerry Carpenter","25961",681481
"Matt Wallner","MIN",117.437,480.562,417.98,93.6991,50.2206,19.8036,1.53951,22.1353,61.9941,62.9061,48.5265,1.06331,150.486,10.8165,2.85339,0.385489,6.12836,4.34547,1.35073,0.224171,0.100979,0.313145,0.322466,0.31872,0.43779,0.328269,0.756511,0.213619,4.29243,0.288316,,-0.400337,62.7183,5.93619,109.918,-0.400337,-1.45,5.2174263298511505,-7.20671534538269,1.48874,389.2699890136719,,,,,,,569.4,4.866666666,569.4,4.866666666,,,,,,,,,,,,,,,,,,,"Matt Wallner","26466",670242
"Josh Jung","TEX",125.576,512.828,475.548,115.627,76.1385,22.1487,1.12635,16.2134,55.3709,60.5433,29.1768,0.413796,130.165,4.30895,3.28645,0.508238,8.30521,3.94645,1.26262,0.243145,0.056894,0.253818,0.224153,0.291054,0.39674,0.298361,0.687794,0.153595,3.48107,0.299028,,-0.448748,54.4764,-6.11814,91.479,-0.448748,0.52,-5.59910586476326,2.457901120185852,1.4845,615.9299926757812,,,,,,,497.3,3.946825396,497.3,3.946825396,,,,,,,,,,,,,,,,,,,"Josh Jung","26299",673962
"Jonathan India","KCR",122.024,514.742,444.072,107.626,72.1486,22.8691,1.47546,11.1328,60.6811,52.1559,53.0822,0.0214339,98.259,12.5362,3.7124,1.33874,9.83803,8.48871,2.64309,0.242361,0.103124,0.19089,0.540227,0.337443,0.375715,0.31762,0.713158,0.133353,4.48779,0.285151,,-0.294,62.7285,1.90773,100.324,-0.294,-1.42,-0.09770901501178741,-3.1439523696899414,1.48097,601.4500122070312,,,,,,,541.4,4.437704918,541.4,4.437704918,,,,,,,,,,,,,,,,,,,"Jonathan India","21523",663697
"Carson Kelly","CHC",95.311,363.409,320.776,74.5773,49.4314,12.3579,0.590134,12.1979,40.1186,43.3823,33.8598,0.254375,72.917,4.03233,3.08511,0.550188,6.82463,1.29106,0.355813,0.232491,0.0931726,0.200647,0.46436,0.310901,0.388774,0.30713,0.699675,0.156283,2.8304,0.26128,,-0.462301,41.1913,-1.74829,97.7712,-0.462301,-2.69,-1.4222949743270874,3.751302719116211,1.47532,622.719970703125,,,,,,,368.2,3.875789473,368.2,3.875789473,,,,,,,,,,,,,,,,,,,"Carson Kelly","13620",608348
"Ha-Seong Kim","ATL",88.609,357.005,313.418,75.6129,52.4456,12.8475,1.79706,8.5227,45.1654,32.1456,34.5399,1.01129,64.556,3.07582,2.7104,2.95754,5.68186,14,3.39373,0.241252,0.096749,0.180827,0.535038,0.320086,0.37529,0.306125,0.695376,0.134037,5.88641,0.276035,,0.822338,40.1741,-2.00882,94.8195,0.822338,-0.24,-1.3696799874305725,3.862268701195717,1.47025,741.5599975585938,,,,,,,378.5,4.252808988,378.5,4.252808988,,,,,,,,,,,,,,,,,,,"Ha-Seong Kim","27506",673490
"Willi Castro","COL",127.245,519.276,462.698,119.676,80.1761,23.4838,3.15057,12.8659,65.6635,54.9278,39.9963,0.776904,116.376,11.1417,3.55154,1.88801,8.89783,15.4424,4.66259,0.258649,0.0770232,0.224112,0.343681,0.330148,0.40644,0.322331,0.736588,0.147791,5.78091,0.316938,,0.317306,65.2674,3.91092,92.7396,0.317306,-0.65,-4.1510950922966,1.2116491794586182,1.46685,259.7799987792969,,,,,,,582.5,4.586614173,582.5,4.586614173,,,,,,,,,,,,,,,,,,,"Willi Castro","17338",650489
"Ceddanne Rafaela","BOS",140.472,557.898,521.438,128.109,83.7079,25.784,3.74903,14.8681,66.2904,59.8916,24.005,0.748041,122.558,6.01152,4.0789,2.36477,7.30296,20.8533,5.31929,0.245684,0.0430276,0.219678,0.195866,0.284637,0.395053,0.293447,0.67969,0.149368,6.34435,0.29179,,1.24649,57.0382,-8.8817,82.4923,1.24649,3.17,-10.265637159347534,5.337777853012085,1.46042,131.33999633789062,,,,,,,550.9,3.935,550.9,3.935,,,,,,,,,,,,,,,,,,,"Ceddanne Rafaela","24262",678882
"Jared Triolo","PIT",124.378,492.519,437.705,106.14,73.7981,21.6925,1.59261,9.05711,55.6179,45.9662,46.2135,0.618707,112.351,3.76698,3.32065,1.5131,7.80069,11.8072,3.51429,0.242493,0.0938309,0.228116,0.41133,0.317961,0.361407,0.300788,0.679368,0.118914,4.81856,0.303749,,0.10922,53.2897,-4.90526,89.7512,0.10922,1.56,-5.873361103236675,3.630946159362793,1.44709,737,,,,,,,477,3.846774193,477,3.846774193,,,,,,,,,,,,,,,,,,,"Jared Triolo","25807",669707
